ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsivity,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
0001,Ag3,F,Ed6,UK,WA,S39,S36,S42,S37,S42,I3,SS02,CL5,CL2,CL0,CL2,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
0002,Ag2,M,Ed9,UK,WH,S29,S52,S55,S48,S41,I2,SS05,CL5,CL2,CL2,CL0,CL6,CL4,CL6,CL3,CL0,CL4,CL0,CL2,CL0,CL2,CL3,CL0,CL4,CL0,CL0
0003,Ag3,M,Ed6,UK,WH,S31,S45,S40,S32,S34,I1,SS07,CL6,CL0,CL0,CL0,CL6,CL3,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL0
0004,Ag1,F,Ed8,UK,WH,S34,S34,S46,S47,S46,I1,SS02,CL4,CL0,CL0,CL3,CL5,CL2,CL4,CL2,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL2,CL0,CL0
0005,Ag3,F,Ed9,UK,WH,S43,S28,S43,S41,S50,I3,SS05,CL4,CL1,CL1,CL0,CL6,CL3,CL6,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0,CL2,CL2,CL0,CL0
0006,Ag6,F,Ed4,CA,WH,S29,S38,S35,S55,S52,I1,SS01,CL2,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0007,Ag4,M,Ed8,US,WH,S31,S32,S43,S41,S48,I3,SS06,CL6,CL0,CL0,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0008,Ag3,M,Ed2,UK,WH,S24,S52,S40,S41,S52,I4,SS04,CL5,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
0009,Ag3,F,Ed6,CA,WH,S42,S55,S39,S48,S49,I1,SS01,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0010,Ag5,M,Ed8,UK,WH,S33,S40,S36,S47,S43,I1,SS03,CL6,CL1,CL0,CL1,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
0011,Ag2,F,Ed7,UK,WH,S26,S45,S38,S38,S53,I4,SS06,CL5,CL0,CL1,CL0,CL6,CL2,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL1
